Claim,Evidence,Original Evidence,label
to ensure that minority groups within a society are included in all programs,"In addition, 95% of all government contracts are awarded to ethnic Malays [Ref","Additionally, 95% of all government contracts are awarded to ethnic Malays [REF",1
We should introduce universal health care,"The OSID provides health, well-being and education services, with a strong commitment to medical education and research and a mission to 'love and serve the poorest, offering them free health care and education'.","OSID provides health, welfare and education services, with a strong commitment to medical education and research and a mission to 'love and serve the poorest ones, offering them free health care and education'.",1
We should increase fuel tax,The plan approved by the Senate would have collected money thanks to higher fuel taxes.,The Senate-approved plan would have raised the money through higher fuel taxes.,1
We should further exploit green technology,"Several countries have reached relatively high levels of wind energy penetration, such as 21% of stationary electricity production in Denmark, [ref] 18% in Portugal, [ref] 16% in Spain, [ref] 14% in Ireland, [ref] and 9% in Germany in 2010 [Ref]","Several countries have achieved relatively high levels of wind power penetration, such as 21% of stationary electricity production in Denmark,[REF] 18% in Portugal,[REF] 16% in Spain,[REF] 14% in Ireland,[REF] and 9% in Germany in 2010 [REF",1
We should increase international volunteering,"Interol's charitable objectives are to act as a resource for international volunteers in UK universities while promoting development projects that focus on education, health, conservation and relief of poverty.","InterVol's charitable objectives are to act as a resource for international volunteers at universities in the United Kingdom while promoting development projects that focus on education, health, conservation and the relief of poverty.",1
Physical education should be mandatory,OAK HILL has swimming as a compulsory part of the physical education program.,Oak Hill has swimming as a mandatory part of the physical education program.,1
We should ban full-body scanners,"John Sedat, the main author of the UCSF letter, replied in November 2010 that the assertion of the White House that the scanners of the full body present no risk for air travelers are 'error', adding that the declaration of the White House has 'many false ideas, and we write a careful response indicating their errors'. '[Ref].","John Sedat, the principal author of the UCSF letter, responded in November 2010 that the White House's claim that full-body scanners pose no health risks to air travelers is in 'error,' adding that the White House statement has 'many misconceptions, and we will write a careful answer pointing out their errors.'[REF] .",1
We should subsidize embryonic stem cell research,"In addition, research on adult stem cells may be able to make greater advances if less money and resources were channeled in research on embryonic stem cells [REF].","Furthermore, adult stem cell research may be able to make greater advances if less money and resources were channeled into embryonic stem cell research [REF].",1
Substance abuse can be harmful to your health and may even be deadly in certain scenarios,"According to some practitioners' nurses, arrest of drug addiction can reduce the risk of dying early and also reducing certain health risks such as heart disease, pulmonary diseases and strokes [Ref","According to some nurse practitioners, stopping substance abuse can reduce the risk of dying early and also reduce some health risks like heart disease, lung disease, and strokes [REF",1
We should introduce goal line technology,"In December 2014, the Bundesliga clubs approved the goal line technology that will be introduced at the start of the 2015-16 season of Bundesliga.","In December 2014, the Bundesliga clubs approved goal-line technology that will be introduced at the start of the 2015-16 Bundesliga season.",1
We should ban whaling,Whale hunting and other threats have led to at least five of the 13 large whales listed as in disappearance [ref].,Whaling and other threats have led to at least five of the 13 great whales being listed as endangered [REF].,1
We should further exploit unconventional oil,Unconventional oil should not currently meet the expected deficit even in the best of cases [ref].,Unconventional oil is not currently predicted to meet the expected shortfall even in a best-case scenario [REF].,1
We should subsidize higher education,"The European higher education area provides Europe with a broad, high quality and advanced knowledge base and guarantees that the development of Europe is a stable, peaceful and tolerant community.","the European Higher Education Area provides Europe with a broad, high quality and advanced knowledge base, and ensures the further development of Europe as a stable, peaceful and tolerant community.",1
We should ban male infant circumcision,"Paul, who was supported by Peter, argued that circumcision was not a necessary practice [ref].","Paul, who was vocally supported by Peter, argued that circumcision was not a necessary practice [REF].",1
We should end affirmative action,"In the 2000 campaign, Lieberman assured black voters: 'I supported positive action, I support positive action and I will support positive action because the current history and reality make it necessary.' [Ref].","In the 2000 campaign, Lieberman assured the black voters, 'I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.'[REF] .",1
We should subsidize renewable energy,"The report indicates that 'the transport of electricity turns out to be one of the keys to an economic power supply' and highlights the importance of 'international cooperation in the field of renewable energy consumption [and] transmission'.","The report states that 'electricity transport proves to be one of the keys to an economical electricity supply' and underscores the importance of 'international co-operation in the field of renewable energy use [and] transmission.'",1
We should legalize prostitution,"On September 2, 2009, Cicillin submitted an order to the municipal council to prohibit internal prostitution in the city, imposing a fine of $ 500 and a potential 30 -day prison sentence on offenders [ref].","On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators [REF].",1
We should legalize organ trade,"These practices contrary to ethics have been the subject of a summit convened in Istanbul from April 30 to May 1, 2008 by the Society (TTS) transplantation [REF] and the International Nephrology Society (ISN) [REF]. The result of these deliberations was the declaration of Istanbul on organ trafficking and transplant tourism. The development of the Summit and the Istanbul Declaration was derived from a Directorate of the World Health Assembly in 2004 when it adopted the WHA57.18 resolution exhorting the Member States 'to take measures to protect the poorest and most vulnerable groups of transplanted tourism and the sale of tissues and organizations, including attention to the broader problem of international traffic in human tissues and organs' [REF].  The declaration stresses that organ trafficking and transplant tourism should be prohibited because they violate the principles of equity, justice and respect for human dignity. The declaration says that because the commercialism of transplantation targets poor and otherwise vulnerable donors, it inexorably leads to inequality and injustice and should also be prohibited","These unethical practices were the subject of a Summit convened in Istanbul from 30 April to 1 May 2008 by The Transplantation Society (TTS)[REF] and the International Society of Nephrology (ISN) [REF]. The result of these deliberations was the Istanbul Declaration on Organ Trafficking and Transplant Tourism . The development of the Istanbul Summit and Declaration was derived from a direction by the World Health Assembly in 2004 as it adopted resolution WHA57.18 urging member states 'to take measures to protect the poorest and vulnerable groups from transplant tourism and the sale of tissues and organs, including attention to the wider problem of international trafficking in human tissues and organs' [REF].  The Declaration emphasizes that organ trafficking and transplant tourism should be prohibited because they violate the principles of equity, justice and respect for human dignity. The Declaration asserts that because transplant commercialism targets impoverished and otherwise vulnerable donors, it leads inexorably to inequity and injustice and should also be prohibited",1
We should ban trans fats usage in food,"The applicants' complaint cites current scientific evidence that trans fat causes coronary coronary disease [ref] and is associated with a higher risk of diabetes [ref] and certain forms of cancer [ref].","Plaintiffs' complaint cites current scientific evidence that trans fat causes coronary heart disease[REF] and is associated with a higher risk of diabetes[REF] and some forms of cancer [REF].",1
We should ban alcoholic beverages,"If alcohol consumption continues, vitamin supplementation is not sufficient to improve the symptoms of most individuals [ref].","If alcohol consumption continues, vitamin supplementation alone is not enough to improve the symptoms of most individuals [REF].",1
We should ban alcoholic beverages,A study revealed that intrauterine alcohol exposure has doubled the risk for childhood anll [Ref,A study found that intrauterine exposure to alcohol doubled the risk for childhood ANLL [REF,1
We should abolish standardized tests,"Critics also invoice that standardized tests encourage 'test teaching' to the detriment of creativity and the in -depth coverage of subjects that are not on the test.","Critics also charge that standardized tests encourage 'teaching to the test' at the expense of creativity and in-depth coverage of subjects not on the test.",1
Suicide should be a criminal offence,"Family members challenged the characterizations of the Zahau police as depressed, describing it instead as a happy person. In addition, they declare that Zahau believed as a Christian that suicide was wrong [ref]. After the suicide decision, Neil Nalepa was quoted as declaring: 'I don't think Rebecca committed suicide.","Family members disputed police characterizations of Zahau as depressed, describing her instead that as a happy person. Furthermore, they state that Zahau believed as a Christian that suicide was wrong [REF]. After the suicide ruling, Neil Nalepa was quoted as stating, 'I would not believe Rebecca would commit suicide.",1
We should legalize doping in sport,"After his death, a 120 -page report was submitted where the death of Dobwel was officially judged 'for unknown reasons', [REF] but the German doping analyst Werner Franke said: the deadly incident that killed Birgit Dressel was inductible by anabolic doping [","After her death, a 120-page report was filed where Dressel's death has been officially deemed 'due to unknown reasons',[REF] but German doping analyst Werner Franke said: The fatal incident that killed Birgit Dressel was undoubtedly triggered by anabolic doping [",1
We should protect whistleblowers,"In May 2011, Simard presented a bill from a private member to protect the reporters in the Quebec Public Service [ref].","In May 2011, Simard introduced a private member's bill to protect whistleblowers in the Quebec civil service [REF].",1
We should end affirmative action,"Obama writes in his latest book, The Audacity of Hope: 'Positive action programs, when they are properly structured, can open opportunities otherwise closed to qualified minorities without reducing opportunities for white students.' [Ref]","Obama writes in his most recent book, The Audacity of Hope: 'Affirmative action programs, when properly structured, can open up opportunities otherwise closed to qualified minorities without diminishing opportunities for white students.'[REF]",1
Single-sex schools should be banned,Unique education in many cultures is recommended on the basis of tradition as well as religion and is practiced in many regions of the world.,"Single-sex education in many cultures is advocated on the basis of tradition as well as religion, and is practiced in many parts of the world.",1
We should abolish the monarchy,Johann Hari wrote a book that God saves the queen? in which he maintains that each member of the royal family suffered psychologically from the monarchy system [Ref,Johann Hari has written a book God Save the Queen? in which he argues that every member of the royal family has suffered psychologically from the system of monarchy [REF,1
Sex education should be mandatory,"Sex education, he argues, is a form of propaganda against Christian sexual morality.","Sex education, he argues, is a form of propaganda against Christian sexual morality.",1
We should end progressive taxation,South Africa has a progressive income tax system that is based on the premise that the rich should contribute a greater proportion to support the state than the poor.,South Africa has a progressive income taxation system which is based on the premise that the wealthy should contribute a greater proportion towards supporting the State than the poor.,1
We should adopt a zero-tolerance policy in schools,"The city has issued zero tolerance policy and promulgated minimum fines of $ 2,000 for any alcohol -related offense [ref].","The city has issued a zero tolerance policy, and has been enacting $2,000 minimum fines for any alcohol-related offence [REF].",1
Physical education should be mandatory,"In 2000, the CDC estimated that more than 40% of the American population was sedentary, an additional 30% were active but not enough and less than 30% had an adequate level of physical activity [Ref","In 2000 the CDC estimated that more than 40% of the US population was sedentary, another 30% was active but not sufficiently and less than 30% had an adequate level of physical activity [REF",1
We should legalize polygamy,"In modern times, a minority of Roman Catholic theologians argued that polygamy, although not ideal, can be a legitimate form of Christian marriage in certain regions, in particular Africa [ref].","In modern times a minority of Roman Catholic theologians have argued that polygamy, though not ideal, can be a legitimate form of Christian marriage in certain regions, in particular Africa [REF].",1
We should legalize same sex marriage,"A survey of public policy survey of July 2011 revealed that 81% of the voters of New Jersey supported the legal recognition of same -sex couples, 41% supporting homosexual marriage and 40% supported civil unions, while only 17% opposed any legal recognition and 2% were not sure [REF].","A July 2011 Public Policy Polling survey found that 81% of New Jersey voters supported legal recognition of same-sex couples, with 41% supporting same-sex marriage and 40% supporting civil unions, while only 17% opposed all legal recognition and 2% were not sure [REF].",1
We should subsidize public transportation,"Responding to these suggestions, the Council noted that if 'the reintegration of public transport services along the value was the most common suggestion', the only means of transport that it would consider along this corridor would be a rescue route.","Replying to these suggestions, the Council noted that whilst 'reinstatement of public transport services along Worth Way was the most common suggestion made', the only means of transport it would consider along that corridor would be a relief road.",1
We should ban the sale of violent video games to minors,"In the end, the conclusion reached in the childhood of Grande Vol was that 'focusing on such easy but minor targets such as violent video games means that parents, social activists and public policy manufacturers ignore the much more powerful and significant causes of the violence of young people who have already been well established, including a range of social factors [not linked to non-local].","Ultimately, the conclusion reached in Grand Theft Childhood was that 'focusing on such easy but minor targets as violent video games causes parents, social activists and public-policy makers to ignore the much more powerful and significant causes of youth violence that have already been well established, including a range of [non-gender-linked] social, behavioral, economic, biological and mental-health factors.'[REF]",1
We should ban fishing,"Fishing can cause several negative physiological and psychological effects for fish populations, including: an increase in stress levels and bodily injuries resulting from fish hooks lodged [REF].",Fishing can cause several negative physiological and psychological effects for fish populations including: increased stress levels and bodily injuries resulting from lodged fish hooks [REF].,1
We should legalize ivory trade,"Ivory trade has considerably increased the slave trade, although it has long been important in intra and interregional trade.","The ivory trade greatly increased the slave trade, although it had long been important in intra- and inter-regional trade.",1
We should ban private education,Others claim that private systems could prevent a large part of the population of Portugal from being able to attend these schools which is also unfair.,"Others claim that the private systems could prevent a significant portion of Portugal's population from being able to attend these schools that is also unfair.",1
We should further exploit green technology,"The growing ethanol and biodiesel industries provide jobs in the construction, operations and maintenance of factories, mainly in rural communities. According to the Renewable Fuels Association, 'the ethanol industry created nearly 154,000 jobs in the United States in 2005, increasing household income by $ 5.7 billion.","The growing ethanol and biodiesel industries are providing jobs in plant construction, operations, and maintenance, mostly in rural communities. According to the Renewable Fuels Association, 'the ethanol industry created almost 154,000 U.S. jobs in 2005 alone, boosting household income by $5.7 billion. It also contributed about $3.5 billion in tax revenues at the local, state, and federal levels' [RE",1
We should ban beauty contests,"Supporters often cite self -confidence and balance as attributes that children learn during the competition process, and even more defend competitions as being similar to other sports, music or educational programs.","Supporters often cite self-confidence and poise as attributes that children learn during the pageant process, and still more defend pageants as being similar to other athletic, music, or educational programs.",1
We should legalize polygamy,"200,000 to 300,000 women attended, calling for the prohibition of polygamy and the introduction of the Civil Divorce Act [REF].","200,000 to 300,000 women attended, calling for a ban on polygamy, and the introduction of civil divorce law [REF].",1
We should fight nationalism,"In accordance with this, Tagore has denounced nationalism, judging it among the greatest problems of humanity.","In line with this, Tagore denounced nationalism, deeming it among humanity's greatest problems.",1
We should fight global warming,The film includes segments intended to refute criticism that say that global warming is not proven or that global warming will be insignificant.,The film includes segments intended to refute critics who say that global warming is unproven or that warming will be insignificant.,1
We should further exploit wind power,"Verena Frank, project manager at Beluga Shipping GmbH, the partner of Skysail GmbH also said that 'the main concept of the project was to use wind energy as auxiliary propulsion power and the use of wind as free energy' [ref].","Verena Frank, project manager at Beluga Shipping GmbH, SkySails GmbH's partner further stated that 'the project's core concept was using wind energy as auxiliary propulsion power and using wind as a free of charge energy' [REF].",1
We should introduce recall elections,"Wisconsin Government Accountability Board voted for all recall elections, but has planned the reminder democratic elections a week after (August 16, 2011) the republican recall elections [ref].","The Wisconsin Government Accountability Board voted in favor of all recall elections, but scheduled the Democratic recall elections one week after (August 16, 2011) the Republican recall elections [REF].",1
We should legalize prostitution,"The Canadian Guild for Erotic Labour Calls for the Legalization of Sex Work, the Elimination of State Regulation that Are More Repressive Than Those Imposed On Other Workers and Businesses, The Right to Recognition and Protection Under Labour and Employment Laws, The Right to Form and Join Professional Associations or Unions, Legally Cross Borders to work","the Canadian Guild for Erotic Labour calls for the legalization of sex work, the elimination of state regulations that are more repressive than those imposed on other workers and businesses, the right to recognition and protection under labour and employment laws, the right to form and join professional associations or unions, and the right to legally cross borders to work",1
We should subsidize biofuels,"Another 2010 study published by the World Bank revealed that 'the Brazil transport sector has a lower carbon intensity compared to that of most other countries due to its widespread use of ethanol as fuel for vehicles.' [Ref","Another 2010 study published by the World Bank found that 'Brazil's transport sector has a lower carbon intensity compared to that of most other countries because of its widespread use of ethanol as a fuel for vehicles.'[REF",1
We should legalize same sex marriage,"A survey conducted in July 2013 revealed a significant increase in support for homosexual marriage, with 52% of Mexicans in favor of the legalization of homosexual marriage.","A poll conducted in July 2013 found a significant increase in support for same-sex marriage, with 52% of Mexicans in favour of legalising same-sex marriage.",1
Sex education should be mandatory,"Defenders argue that any other type of sex education would promote sex outside marriage, which they consider as immoral and risky.","Advocates argue that any other type of sexual education would promote sex outside of marriage, which they hold to be immoral and risky.",1
We should ban free newspapers,"In addition to the advantages of large traffic and a large group of readers, free newspapers attract many advertisers.","Besides the advantages of large circulation and a large group of readers, free newspapers attract many advertisers.",1
The free market should be protected,Studies show that private market factors can provide many goods or services more effectively than governments due to free competition on the market [ref].,Studies show that private market factors can more efficiently deliver many goods or service than governments due to free market competition [REF].,1
We should ban abortions,"The Church maintains that 'the first law of the human person is his life' and that life is supposed to start fertilization","The Church holds that 'the first right of the human person is his life' and that life is assumed to begin at fertilization",1
We should legalize polygamy,"Historian LDS Todd Compton, in his sacred loneliness book, described many cases where certain women in polygamous weddings were not satisfied with polygamy [Ref","LDS historian Todd Compton, in his book In Sacred Loneliness, described many instances where some wives in polygamous marriages were unhappy with polygamy [REF",1
"profits from the venture go to the charity or group of charities, rather than to a municipality or private casino","Bigheartbingo collects funds for the main charitable organizations such as cancer Research, NSPCC, Save the Children, Age Concern, Great Ormond St Hospital (Gosh), RNIB and Comic Relief among many","BigHeartBingo raises money for major charities like Cancer Research, NSPCC, Save the Children, Age Concern, Great Ormond St Hospital (GOSH), RNIB and Comic Relief amongst many",1
We should introduce universal health care,"'Single payer' defenders argue that the displacement of the United States to a single paying health system would provide universal coverage, would give patients free choice of suppliers and hospitals, and would guarantee complete coverage and equal access to all medically necessary procedures, without increasing overall expenses.","Advocates of 'single-payer' argue that shifting the U.S. to a single-payer health care system would provide universal coverage, give patients free choice of providers and hospitals, and guarantee comprehensive coverage and equal access for all medically necessary procedures, without increasing overall spending.",1
We should increase internet censorship,A BBC News article reported that criticism feared that this new software could be used by the government to improve the existing internet censorship system.,A BBC News article reported that critics feared this new software could be used by the government to enhance the existing internet censorship system.,1
We should abolish the needle exchange programs,"The policy of reducing misdeeds in Switzerland - which includes large -scale syringe exchange programs (also in prisons) [REF] and medical prescription for heroin for chronic drug addicts - was introduced against the strong opposition of the United Nations Medicines Control Authorities, but approved by a majority of the Swiss population in several popular references [REF].","The harm reduction policy of Switzerland - which includes large-scale syringe exchange programs (also in prisons)[REF] and the medical prescription of heroin for chronic heroin addicts - was introduced against the strong opposition of the UN drug control authorities,[REF] but endorsed by a majority of the Swiss population in several popular referenda [REF].",1
We should subsidize biofuels,"A report by the US Department of Agriculture of 2006 (USDA) revealed that at Ethanol, the conversion of sugar cane, sugar beets and ethanol molasses would be profitable. [Ref","A 2006 U.S. Department of Agriculture (USDA) report found that at market prices for ethanol, converting sugarcane, sugar beets and molasses to ethanol would be profitable. [REF",1
Surrogacy should be banned,"The courts which allow the maternity of substitution sometimes offer a means to the planned mother, especially if she is also the genetic mother, to be recognized as the legal mother without going through the process of abandonment and adoption.","Jurisdictions that permit surrogacy sometimes offer a way for the intended mother, especially if she is also the genetic mother, to be recognized as the legal mother without going through the process of abandonment and adoption.",1
We should abandon democracy,"Another Muslim scholar and thinker, Muhammad Asad, considered democracy to be perfectly compatible with Islam.","Another Muslim scholar and thinker, Muhammad Asad, viewed democracy as perfectly compatible with Islam.",1
We should legalize the growing of coca leaf,"Since the 1980s, countries where COCA has been cultivated has undergone political and economic pressure from the United States to restrict the culture of harvest in order to reduce the supply of cocaine on the international market [REF].","Since the 1980s, the countries in which coca is grown have come under political and economic pressure from the United States to restrict the cultivation of the crop in order to reduce the supply of cocaine on the international market [REF].",1
We should fight for Palestinian independence,"Rice argued Israel, defended Israel's right to protect himself and promoted the 'peacemake for peace', which includes the establishment of a sovereign Palestinian state.","Rice has supported Israel, defended Israel's right to protect itself, and promoted the 'road map for peace,' which includes the establishment of a sovereign Palestinian state.",1
Sex education should be mandatory,"A recent press release from the American Psychological Association (APA) supported the inclusion of information on condoms in sex education, saying 'full sex education programs. Discuss the appropriate use of condoms 'and' promote the use of condoms for those who are sexually active '.","A recent American Psychological Association (APA) press release supported the inclusion of information about condoms in sex education, saying 'comprehensive sexuality education programs.. discuss the appropriate use of condoms', and 'promote condom use for those who are sexually active.'",1
We should ban partial birth abortions,"Foca opponents claim that, if they would invalidate all restrictions on abortion nationally, including the laws on parents' notification, enlightened consent laws and prohibitions from partial abortion to abortion at birth [ref].","Opponents of FOCA assert that it would, if passed, invalidate every restriction on abortion nationwide, including parental notification laws, informed consent laws, and bans on partial birth abortion [REF].",1
We should end water fluoridation,"A 2008 telephone survey revealed that around half of Canadian adults knew fluoridation, and among these, 62% supported the idea [REF].","A 2008 telephone survey found that about half of Canadian adults knew about fluoridation, and of these, 62% supported the idea [REF].",1
We should ban fast food,"The same advertising manager was in a place where a doctor made exaggerated claims of the advantages of fast food that he would heal baldness, would help reduce extra pounds and eliminate wrinkles.","The same ad exec featured in a spot where a medical doctor made exaggerated claims of the benefits of fast food that it would cure baldness, help trim extra pounds, and remove wrinkles.",1
We should legalize ivory trade,"International deliberations on the measures necessary to prevent the serious decline in the number of elephants have almost always ignored the loss of human life in Africa, the refueling of corruption, the 'currency' of ivory in the purchase of weapons and the rupture of the law and the order in the areas where the illegal trade in ivory has prospered. The debate was generally based on the number of elephants, the estimates of the poached elephants and the official statistics of the ivory [REF].","The international deliberations over the measures required to prevent the serious decline in elephant numbers almost always ignored the loss of human life in Africa, the fueling of corruption, the 'currency' of ivory in buying arms, and the breakdown of law and order in areas where illegal ivory trade flourished. The debate usually rested on the numbers of elephants, estimates of poached elephants and official ivory statistics [REF].",1
We should subsidize higher education,"Given that modernization depended on a considerably increased and improved capacity to train scientists and engineers for the necessary breakthroughs, the renewed concern for higher education and academic quality - and the central role that the sciences had to play in the four modernizations - highlighted the need for research and scientific training. This concern can be attributed to the shortages of critical staff and qualitative deficiencies in the sciences resulting from unproductive years of the cultural revolution, when higher education has been closed.","Because modernization depended on a vastly increased and improved capability to train scientists and engineers for needed breakthroughs, the renewed concern for higher education and academic quality - and the central role that the sciences were expected to play in the Four Modernizations - highlighted the need for scientific research and training. This concern can be traced to the critical personnel shortages and qualitative deficiencies in the sciences resulting from the unproductive years of the Cultural Revolution, when higher education was shut down.",1
Hunting should be banned,"In reality, the Fish and Wildlife Service has determined that hunting is only appropriate for species for which there is a long tradition of hunting and for which hunting is in accordance with their population status and their long -term conservation.","In actuality, the Fish and Wildlife Service has determined that hunting is appropriate only for those species for which there is a long tradition of hunting, and for which hunting is consistent with their population status and their long-term conservation.",1
We should end affirmative action,"In fact, the untouchables, as well as the tribal peoples and the members of the lowest castes in India benefit from large positive action programs and benefit from greater political power. ''","In fact, untouchables, as well as tribal people and members of the lowest castes in India benefit from broad affirmative action programmes and are enjoying greater political power.'",1
We should introduce school vouchers,"In 2007, he signed the law on the choice of parents in education which, according to him, was 'the largest school bill to date in the United States.","In 2007, he signed into law the Parent Choice in Education Act which he said was 'the largest school-voucher bill to date in the United States.",1
We should subsidize public transportation,"Because it is relatively easy to dig through limestone and there are many natural and artificial open spaces, it has often been proposed that the area examines the idea of building metros for public transport.","Because it is comparatively easy to dig through limestone and there are many natural and man-made open spaces, it has often been proposed that the area should examine the idea of building subways for public transportation.",1
We should further exploit hydroelectric dams,"In October 2010, China Yangtze Power, the largest hydroelectric company in China, and eurosibergo, a Russian energy company, signed a cooperation agreement to extend the production of hydroelectric energy in Russia and export energy to the territories of northern China [REF].","In October 2010, China Yangtze Power, the largest hydropower corporation in China, and EuroSibEnergo, a Russian energy company, signed a cooperation agreement to expand hydroelectric energy production in Russia and export energy to China's northern territories [REF].",1
We should protect endangered species,"In addition, mitigation efforts should be made to reduce negative effects on threatened species [ref].","Also, mitigation efforts must be taken to reduce the negative effects on the endangered species [REF].",1
Suicide should be a criminal offence,"The definition of Shneidman's suicide is a conscious act of self-induced annihilation, better understood as a multidimensional discomfort in a necessary person who defines a problem for which suicide is perceived as the best solution. He considered suicide as a psychic or intolerable psychological pain","Shneidman's definition of suicide is a conscious act of self-induced annihilation, best understood as a multidimensional malaise in a needful individual who defines an issue for which suicide is perceived as the best solution. He thought of suicide as psychache or intolerable psychological pain",1
We should subsidize public transportation,The under-financing of public transport prevents all those who need transport from having access to it. And those who can choose between public transport and private transport will choose private transport rather than dealing with the disadvantages of public transport.,underfunding of public transportation prevents everyone who needs transportation from having access to it. And those who can choose between public transportation and private transportation will choose private transportation rather than face the inconveniences of public transportation.,1
We should legalize same sex marriage,"In 2004, Mississippi voters approved a constitutional amendment of the state prohibiting homosexual marriage and prohibiting the Mississippi from recognizing homosexual marriages played elsewhere.","In 2004, Mississippi voters approved a state constitutional amendment banning same-sex marriage and prohibiting Mississippi from recognizing same-sex marriages performed elsewhere.",1
We should adopt mobile payments,"In partnership with Mfoundry, Starbucks has created a mobile payment application which is underway nationally [ref] and in the first two months of the live application on 3M customers downloaded and used.","In partnership with mFoundry, Starbucks created a mobile payment application that is in current use nationwide[REF] and within the first two months of the application being live over 3M customers downloaded and used it.",1
Tattoos should be banned,Haake realized that his medical tattoo skills could also improve the appearance of women.,"Haake realized that her medical tattooing skills could also enhance women's appearance.",1
We should further exploit green technology,Geothermal energy capacity increased from around 1 GW in 1975 to almost 10 GW in 2008 [Ref,Geothermal power capacity grew from around 1 GW in 1975 to almost 10 GW in 2008 [REF,1
Refugee populations consist of people who are terrified and are away from familiar surroundings,"Another study showed that 28.3% of Bosnian refugee women presented symptoms of SSPT three or four years after their arrival in Sweden. These women also had significantly higher risks of symptoms of depression, anxiety and psychological distress than women of Swedish origin. For depression, the rating report was 9.50 in Bosnian women [Ref","Another study showed that 28.3% of Bosnian refugee women had symptoms of PTSD three or four years after their arrival in Sweden. These women also had significantly higher risks of symptoms of depression, anxiety, and psychological distress than Swedish-born women. For depression the odds ratio was 9.50 among Bosnian women [REF",1
We should subsidize public transportation,"The costs would be combined with other traffic reduction implementations, making it possible to collect money for improvements in public transport and improvements in bikes and pedestrians [ref].","The charge would be combined with other traffic reduction implementations, allowing money to be raised for public transit improvements and bike and pedestrian enhancements [REF].",1
We should fight urbanization,The greatest threat to their existence is the destruction of the habitat caused by agriculture and urbanization.,The biggest threat to their existence is habitat destruction caused by agriculture and urbanisation.,1
We should further exploit nuclear power,"Bernard Cohen, professor emeritus of physics at the University of Pittsburgh, calculates that nuclear energy is several times safer than other forms of electricity production [ref].","Bernard Cohen, Professor Emeritus of Physics at the University of Pittsburgh, calculates that nuclear power is many times safer than other forms of power generation [REF].",1
Physical education should be mandatory,"Two years of physical education (generally called 'gym', 'PE' or 'physical' by students) is generally necessary, although certain academic states and districts require that all students take physical education in each semester.","Two years of physical education (usually referred to as 'gym,' 'PE' or 'phys ed' by students) is commonly required, although some states and school districts require that all students take Physical Education every semester.",1
We should subsidize electric cars,The internal BMW clean energy combustion has more power and is faster than electric cars with hydrogen fuel cells.,"BMW's Clean Energy internal combustion hydrogen car has more power and is faster than hydrogen fuel cell electric cars.",1
We should adopt vegetarianism,"In England, Reverend William Cowherd founded the Bible Christian Church in 1809. Cowherd advocated vegetarianism as a form of temperance and was one of the philosophical precursors of vegetarian society [Ref","In England, Reverend William Cowherd founded the Bible Christian Church in 1809. Cowherd advocated vegetarianism as a form of temperance and was one of the philosophical forerunners of the Vegetarian Society [REF",1
We should ban partial birth abortions,"It argued on behalf of the Leroy Carhart abortion supplier, to contest the constitutionality of the law on abortion at partial birth, a federal law which prohibits the practice of dilation and intact extraction [ref].","She argued on behalf of the abortion provider LeRoy Carhart, to challenge the constitutionality of the Partial-Birth Abortion Ban Act, a federal law that forbids the practice of intact dilation and extraction [REF].",1
We should increase immigration to the United States,"Other studies suggest that immigration reform, which includes the legalization of unauthorized immigrants, could add considerably to the US gross domestic product (GDP) over 10 years and increase workers in general [ref].","Other studies suggest that immigration reform which includes legalization of unauthorized immigrants might add considerably to U.S. Gross Domestic Product (GDP) over 10 years, and increase wages for workers generally [REF].",1
We should further exploit green technology,New commercial development: Incubate start-ups that promote sustainable environmental technologies and practices.,New Business Development: Incubate start-up companies that promote sustainable environmental technologies and practices.,1
We should abandon democracy,"After Franco's death in 1975, Spain moved to restore democracy.","Following Franco's death in 1975, Spain moved to restore democracy.",1
We should legalize cannabis,"Drug Enforcement Administration (DEA) said that the decriminalization of cannabis would lead to increased consumption of cannabis and dependence on the non -source brochure entitled 'Expressed against the legalization of drugs' [REF]. The brochure declared in 1979, after 11 states, the consumption of decriminalized private cannabis, the consumption of cannabis in 12th year students was almost 51% and in 1992, when more strict cannabis laws were put in place, the rate of use reduced to 22%. The brochure also indicates that when Alaska decriminalized cannabis in 1975, the rate of use of cannabis in young people has finally increased the average rate of use of national young people at the national level for twice","The Drug Enforcement Administration (DEA) has claimed that cannabis decriminalization will lead to increased cannabis use and addiction in the un-sourced pamphlet entitled 'Speaking Out Against Drug Legalization' [REF]. The pamphlet states in 1979, after 11 states decriminalized private cannabis use, cannabis use among 12th grade students was almost 51 percent and in 1992, when stricter cannabis laws were put in place, the usage rate reduced to 22 percent. The pamphlet also states that when Alaska decriminalized cannabis in 1975, the cannabis use rate among youth eventually rose to twice the national average youth usage rate nationwide",1
We should ban alcoholic beverages,"A prospective study published in 1997 revealed that 'moderate alcohol consumption seems to decrease the risk of PAD in apparently healthy men'.","A prospective study published in 1997 found 'moderate alcohol consumption appears to decrease the risk of PAD in apparently healthy men.'",1
